Bairro,Zona,Cidade,UF
Parque Malagoli,Norte,São Paulo,SP
Parque Mandaqui,Norte,São Paulo,SP
Parque Mandi,Leste,São Paulo,SP
Parque Maria Alice,Norte,São Paulo,SP
Parque Maria Domitila,Sul,São Paulo,SP
Parque Maria Fernandes,Norte,São Paulo,SP
Parque Maria Helena,Norte,São Paulo,SP
Parque Maria Luiza,Norte,São Paulo,SP
Parque Monteiro Soares,Oeste,São Paulo,SP
Parque Munhoz,Sul,São Paulo,SP
Parque Nações Unidas,Sul,São Paulo,SP
Parque Novo Grajaú,Sul,São Paulo,SP
Parque Novo Lar,Norte,São Paulo,SP
Parque Novo Mundo,Norte,São Paulo,SP
Parque Novo Santo Amaro,Sul,São Paulo,SP
Parque Paineiras,Norte,São Paulo,SP
Parque Palmas do Tremembé,Norte,São Paulo,SP
Parque Panamericano,Norte,São Paulo,SP
Parque Paulistano,Norte,São Paulo,SP
Parque Penha,Leste,São Paulo,SP
Parque Pereira,Norte,São Paulo,SP
Parque Peruche,Norte,São Paulo,SP
Parque Planalto,Norte,São Paulo,SP
Parque Primavera,Norte,São Paulo,SP
Parque Ramos Freitas,Norte,São Paulo,SP
Parque Rebouças,Oeste,São Paulo,SP
Parque Recreio,Norte,São Paulo,SP
Parque Regina,Norte,São Paulo,SP
Parque Residencial Cocaia,Sul,São Paulo,SP
Parque Residencial da Lapa,Oeste,São Paulo,SP
Parque Residencial D'Abril,Oeste,São Paulo,SP
Parque Residencial dos Lagos,Norte,São Paulo,SP
Parque Residencial Julia,Norte,São Paulo,SP
Parque Residencial Oratorio,Leste,São Paulo,SP
Parque Rodrigues Alves,Leste,São Paulo,SP
Parque São Domingos,Norte,São Paulo,SP
Parque São Jorge,Leste,São Paulo,SP
Parque São José,Sul,São Paulo,SP
Parque São Lourenço,Norte,São Paulo,SP
Parque São Luís,Sul,São Paulo,SP
Parque São Lucas,Leste,São Paulo,SP
Parque São Miguel,Leste,São Paulo,SP
Parque São Paulo,Norte,São Paulo,SP
Parque São Rafael,Leste,São Paulo,SP
Parque Santa Amélia,Norte,São Paulo,SP
Parque Santa Bárbara,Leste,São Paulo,SP
Parque Santa Cecília,Norte,São Paulo,SP
Parque Santa Cecília (Grajaú),Sul,São Paulo,SP
Parque Santa Madalena,Leste,São Paulo,SP
Parque Santa Rita,Norte,São Paulo,SP
Parque Santana,Norte,São Paulo,SP
Parque Santo Amaro,Sul,São Paulo,SP
Parque Santo Antônio,Sul,São Paulo,SP
Parque Santo Antônio (Aricanduva),Leste,São Paulo,SP
Parque Santo Eduardo,Norte,São Paulo,SP
Parque Savoy City,Leste,São Paulo,SP
Parque Sevilha,Sul,São Paulo,SP
Parque Sonia,Norte,São Paulo,SP
Parque Taipas,Norte,São Paulo,SP
Parque Taipas - Parque das Flores,Norte,São Paulo,SP
Parque Tamari,Norte,São Paulo,SP
Parque Tietê,Norte,São Paulo,SP
Parque Tomas Saraiva,Leste,São Paulo,SP
Parque Universitário Espírita,Oeste,São Paulo,SP
Parque Veloso,Sul,São Paulo,SP
Parque Vila Maria,Norte,São Paulo,SP
Parque Vitória,Norte,São Paulo,SP
Parque Vitória do Sol Nascente,Norte,São Paulo,SP
Pedreira,Sul,São Paulo,SP
Penha de França,Leste,São Paulo,SP
Perdizes,Oeste,São Paulo,SP
Perus,Norte,São Paulo,SP
Pinheiros,Oeste,São Paulo,SP
Piqueri,Norte,São Paulo,SP
Pirajussara,Oeste,São Paulo,SP
Pirituba,Norte,São Paulo,SP
Planalto Paulista,Sul,São Paulo,SP
Ponte Pequena,Norte,São Paulo,SP
Praia Azul,Sul,São Paulo,SP
Praia da Lagoa,Sul,São Paulo,SP
Praia do Leblon,Sul,São Paulo,SP
Praia Paulistinha,Sul,São Paulo,SP
Praias Paulistanas,Sul,São Paulo,SP
Promorar Vila Maria,Norte,São Paulo,SP
Protendit,Leste,São Paulo,SP
Quarta Parada,Leste,São Paulo,SP
Quilômetro Vinte e Oito,Sul,São Paulo,SP
Quinta da Paineira,Norte,São Paulo,SP
Raposo Tavares,Oeste,São Paulo,SP
Real Parque,Oeste,São Paulo,SP
Recanto Alegre,Norte,São Paulo,SP
Recanto Ana Maria,Norte,São Paulo,SP
Recanto Campo Belo,Sul,São Paulo,SP
Recanto das Andorinhas,Norte,São Paulo,SP
Recanto dos Humildes,Norte,São Paulo,SP
Recanto dos Sonhos,Sul,São Paulo,SP
Recanto Marisa,Norte,São Paulo,SP
Recanto Monte Alegre,Norte,São Paulo,SP
Recanto Paraíso,Norte,São Paulo,SP
Recanto Santo Antônio,Norte,São Paulo,SP
Recanto Verde do Sol,Norte,São Paulo,SP
República,Centro,São Paulo,SP
Residencial Sol Nascente,Norte,São Paulo,SP
Residencial Taipas,Norte,São Paulo,SP
Residencial Vilela,Norte,São Paulo,SP
Retiro Morumbi,Oeste,São Paulo,SP
Rio Bonito,Leste,São Paulo,SP
Rio Pequeno,Oeste,São Paulo,SP
Riviera Paulista,Sul,São Paulo,SP
Rolinópolis,Norte,São Paulo,SP
São João Clímaco,Sul,São Paulo,SP
São Judas,Sul,São Paulo,SP
São Mateus,Leste,São Paulo,SP
São Miguel Paulista,Leste,São Paulo,SP
São Salvador,Sul,São Paulo,SP
Sé,Centro,São Paulo,SP
Saúde,Sul,São Paulo,SP
Sacomã,Sul,São Paulo,SP
Santa Amélia,Sul,São Paulo,SP
Santa Cecília,Centro,São Paulo,SP
Santa Efigênia,Centro,São Paulo,SP
Santa Etelvina,Leste,São Paulo,SP
Santa Teresinha,Norte,São Paulo,SP
Santana,Norte,São Paulo,SP
Santo Amaro,Sul,São Paulo,SP
Sapopemba,Leste,São Paulo,SP
Sítio Areião,Sul,São Paulo,SP
Sítio Barrocada,Sul,São Paulo,SP
Sítio Botuquara,Norte,São Paulo,SP
Sítio Canela Branca,Norte,São Paulo,SP
Sítio Caraguata,Norte,São Paulo,SP
Sítio da Barra,Sul,São Paulo,SP
Sítio da Figueira,Norte,São Paulo,SP
Sítio do Mandaqui,Norte,São Paulo,SP
Sítio do Morro,Sul,São Paulo,SP
Sítio do Piqueri,Norte,São Paulo,SP
Sítio Itaberaba I,Norte,São Paulo,SP
Sítio Itaberaba II,Norte,São Paulo,SP
Sítio Morro Grande,Norte,São Paulo,SP
Sítio Pinheirinho,Sul,São Paulo,SP
Sítio Represa,Sul,São Paulo,SP
Sete Praias,Sul,São Paulo,SP
Siciliano,Norte,São Paulo,SP
Socorro,Sul,São Paulo,SP
Sol Nascente,Norte,São Paulo,SP
Sumaré,Oeste,São Paulo,SP
Sumarezinho,Oeste,São Paulo,SP
Super Quadra Morumbi,Oeste,São Paulo,SP
Tatuapé,Leste,São Paulo,SP
Terceira Divisão,Sul,São Paulo,SP
Terceira Divisão de Interlagos,Sul,São Paulo,SP
Três Cruzes,Sul,São Paulo,SP
Tremembé,Norte,São Paulo,SP
Tucuruvi,Norte,São Paulo,SP
Umarizal,Norte,São Paulo,SP
União de Vila Nova,Norte,São Paulo,SP
Usina Piratininga,Sul,São Paulo,SP
Várzea da Barra Funda,Oeste,São Paulo,SP
Várzea de Baixo,Sul,São Paulo,SP
Valo Velho,Sul,São Paulo,SP
Veleiros,Sul,São Paulo,SP
Vila Água Funda,Sul,São Paulo,SP
Vila ABC,Sul,São Paulo,SP
Vila Acre,Norte,São Paulo,SP
Vila Adalgisa,Sul,São Paulo,SP
Vila Aimoré,Leste,São Paulo,SP
Vila Alabama,Leste,São Paulo,SP
Vila Alba,Norte,São Paulo,SP
Vila Albano,Norte,São Paulo,SP
Vila Albertina,Norte,São Paulo,SP
Vila Alexandria,Sul,São Paulo,SP
Vila Almeida,Norte,São Paulo,SP
Vila Alpina,Leste,São Paulo,SP
Vila Alzira,Norte,São Paulo,SP
Vila Amália (Zona Leste),Leste,São Paulo,SP
Vila Amália (Zona Norte),Norte,São Paulo,SP
Vila Amélia,Norte,São Paulo,SP
Vila América,Norte,São Paulo,SP
Vila Americana,Oeste,São Paulo,SP
Vila Ana Rosa,Sul,São Paulo,SP
Vila Anadir,Leste,São Paulo,SP
Vila Analia,Leste,São Paulo,SP
Vila Anastácio,Oeste,São Paulo,SP
Vila Andes,Norte,São Paulo,SP
Vila Andrade,Sul,São Paulo,SP
Vila Anglo Brasileira,Norte,São Paulo,SP
Vila Anhanguera,Norte,São Paulo,SP
Vila Antônio,Sul,São Paulo,SP
Vila Antônio dos Santos,Norte,São Paulo,SP
Vila Antonieta,Sul,São Paulo,SP
Vila Antonina,Norte,São Paulo,SP
Vila Aparecida,Norte,São Paulo,SP
Vila Araguaia,Oeste,São Paulo,SP
Vila Arapuã,Leste,São Paulo,SP
Vila Arcádia,Leste,São Paulo,SP
Vila Arco Íris,Norte,São Paulo,SP
Vila Aricanduva,Leste,São Paulo,SP
Vila Arriete,Norte,São Paulo,SP
Vila Arruda,Norte,São Paulo,SP
Vila Aurea,Sul,São Paulo,SP
Vila Aurora,Norte,São Paulo,SP
Vila Aurora (Zona Norte),Norte,São Paulo,SP
Vila Ayrosa,Norte,São Paulo,SP
Vila Azevedo,Norte,São Paulo,SP
Vila Babilônia,Oeste,São Paulo,SP
Vila Baby,Norte,São Paulo,SP
Vila Bancária,Norte,São Paulo,SP
Vila Bancária Munhoz,Norte,São Paulo,SP
Vila Bandeirantes,Sul,São Paulo,SP
Vila Barbosa,Norte,São Paulo,SP
Vila Barreto,Norte,São Paulo,SP
Vila Baruel,Norte,São Paulo,SP
Vila Basileia,Norte,São Paulo,SP
Vila Bauab,Norte,São Paulo,SP
Vila Beatriz,Oeste,São Paulo,SP
Vila Bela,Norte,São Paulo,SP
Vila Bela Aliança,Norte,São Paulo,SP
Vila Bela do Sapopemba,Leste,São Paulo,SP
Vila Bela Vista (Zona Norte),Norte,São Paulo,SP
Vila Bela Vista (Zona Sul),Sul,São Paulo,SP
Vila Belo Horizonte,Leste,São Paulo,SP
Vila Bertioga,Leste,São Paulo,SP
Vila Bianca,Norte,São Paulo,SP
Vila Boaçava,Oeste,São Paulo,SP
Vila Bom Jardim,Norte,São Paulo,SP
Vila Bonilha,Norte,São Paulo,SP
Vila Bonilha Nova,Norte,São Paulo,SP
Vila Borges,Norte,São Paulo,SP
Vila Bozzini,Norte,São Paulo,SP
Vila Brasília (Zona Sul),Sul,São Paulo,SP
Vila Brasílio Machado,Norte,São Paulo,SP
Vila Brasil,Norte,São Paulo,SP
Vila Brasilândia,Norte,São Paulo,SP
Vila Brasilina,Leste,São Paulo,SP
Vila Bruna,Norte,São Paulo,SP
Vila Buarque,Centro,São Paulo,SP
Vila Buenos Aires,Norte,São Paulo,SP
Vila Butantã,Oeste,São Paulo,SP
Vila Cachoeira,Norte,São Paulo,SP
Vila Caiçara,Norte,São Paulo,SP
Vila Caíuba,Norte,São Paulo,SP
Vila Caju,Norte,São Paulo,SP
Vila Califórnia,Leste,São Paulo,SP
Vila Califórnia (Zona Sul),Sul,São Paulo,SP
Vila Calu,Norte,São Paulo,SP
Vila Campanela,Norte,São Paulo,SP
Vila Campestre,Sul,São Paulo,SP
Vila Campo Grande,Sul,São Paulo,SP
Vila Canero,Norte,São Paulo,SP
Vila Capela,Norte,São Paulo,SP
Vila Caraguatá,Norte,São Paulo,SP
Vila Carbone,Norte,São Paulo,SP
Vila Cardoso Franco,Leste,São Paulo,SP
Vila Carioca,Sul,São Paulo,SP
Vila Carlos de Campos,Leste,São Paulo,SP
Vila Carmem,Norte,São Paulo,SP
Vila Carmosina,Leste,São Paulo,SP
Vila Carolina,Norte,São Paulo,SP
Vila Carrão,Leste,São Paulo,SP
Vila Castelo,Norte,São Paulo,SP
Vila Catupia,Norte,São Paulo,SP
Vila Cavaton,Norte,São Paulo,SP
Vila Caxambu,Norte,São Paulo,SP
Vila Celeste,Norte,São Paulo,SP
Vila Centenário,Sul,São Paulo,SP
Vila Central,Norte,São Paulo,SP
Vila Chabilândia,Norte,São Paulo,SP
Vila Charlote,Norte,São Paulo,SP
Vila Chavantes,Sul,São Paulo,SP
Vila Chica Luisa,Norte,São Paulo,SP
Vila Chuca,Norte,São Paulo,SP
Vila Cisper,Leste,São Paulo,SP
Vila Cláudia,Norte,São Paulo,SP
Vila Clélia,Oeste,São Paulo,SP
Vila Clara,Norte,São Paulo,SP
Vila Clarice,Norte,São Paulo,SP
Vila Clementino,Sul,São Paulo,SP
Vila Cleonice,Norte,São Paulo,SP
Vila Comercial,Norte,São Paulo,SP
Vila Conceição,Sul,São Paulo,SP
Vila Conde do Pinhal,Norte,São Paulo,SP
Vila Congonhas,Sul,São Paulo,SP
Vila Constança,Norte,São Paulo,SP
Vila Continental,Norte,São Paulo,SP
Vila Corberi,Norte,São Paulo,SP
Vila Cordeiro,Sul,São Paulo,SP
Vila Cosmopolita,Norte,São Paulo,SP
Vila Costa Melo,Leste,São Paulo,SP
Vila Cristália,Leste,São Paulo,SP
Vila Cruz das Almas,Norte,São Paulo,SP
Vila Cruzeiro,Sul,São Paulo,SP
Vila Cunha Bueno,Sul,São Paulo,SP
Vila Curuçá,Leste,São Paulo,SP
Vila da Paz,Sul,São Paulo,SP
Vila da Saúde,Sul,São Paulo,SP
Vila Dalila,Leste,São Paulo,SP
Vila Dalva,Oeste,São Paulo,SP
Vila Damaceno,Norte,São Paulo,SP
Vila Danubio Azul,Norte,São Paulo,SP
Vila Darli,Norte,São Paulo,SP
Vila das Belezas,Sul,São Paulo,SP
Vila das Mercês,Sul,São Paulo,SP
Vila Deodoro,Norte,São Paulo,SP
Vila Dinorah,Norte,São Paulo,SP
Vila Dionisia,Norte,São Paulo,SP
Vila Diva (Zona Leste),Leste,São Paulo,SP
Vila Diva (Zona Norte),Norte,São Paulo,SP
Vila Divina Pastora,Norte,São Paulo,SP
Vila do Bosque,Norte,São Paulo,SP
Vila do Castelo,Norte,São Paulo,SP
Vila do Encontro,Sul,São Paulo,SP
Vila do Sol,Norte,São Paulo,SP
Vila Dom Pedro I,Leste,São Paulo,SP
Vila Dom Pedro II,Leste,São Paulo,SP
Vila Domitila,Sul,São Paulo,SP
Vila Dona Augusta,Norte,São Paulo,SP
Vila Dona Meta,Norte,São Paulo,SP
Vila Dona Sara,Norte,São Paulo,SP
Vila Dorna,Norte,São Paulo,SP
Vila dos Andradas,Norte,São Paulo,SP
Vila dos Andrades,Norte,São Paulo,SP
Vila dos Minérios,Norte,São Paulo,SP
Vila dos Palmares,Norte,São Paulo,SP
Vila dos Remédios,Oeste,São Paulo,SP
Vila Doutor Eiras,Sul,São Paulo,SP
Vila Duarte,Norte,São Paulo,SP
Vila Ede,Norte,São Paulo,SP
Vila Elias Nigri,Leste,São Paulo,SP
Vila Elida,Norte,São Paulo,SP
Vila Elisio,Norte,São Paulo,SP
Vila Elvira,Norte,São Paulo,SP
Vila Elze,Norte,São Paulo,SP
Vila Ema,Leste,São Paulo,SP
Vila Emir,Norte,São Paulo,SP
Vila Erna,Norte,São Paulo,SP
Vila Ernesto,Norte,São Paulo,SP
Vila Escolar,Norte,São Paulo,SP
Vila Espanhola,Sul,São Paulo,SP
Vila Esperança,Leste,São Paulo,SP
Vila Ester,Oeste,São Paulo,SP
Vila Ester (Zona Norte),Norte,São Paulo,SP
Vila Euthalia,Norte,São Paulo,SP
Vila Fátima,Norte,São Paulo,SP
Vila Fachini,Norte,São Paulo,SP
Vila Fanton,Norte,São Paulo,SP
Vila Fazzeoni,Norte,São Paulo,SP
Vila Feliz,Norte,São Paulo,SP
Vila Fernandes,Norte,São Paulo,SP
Vila Fiat Lux,Norte,São Paulo,SP
Vila Fidalgo,Norte,São Paulo,SP
Vila Fidelis Ribeiro,Leste,São Paulo,SP
Vila Firmiano Pinto,Norte,São Paulo,SP
Vila Formosa,Leste,São Paulo,SP
Vila Franca,Norte,São Paulo,SP
Vila Franci,Norte,São Paulo,SP
Vila Francos,Norte,São Paulo,SP
Vila Friburgo,Norte,São Paulo,SP
Vila Frugoli,Norte,São Paulo,SP
Vila Fukuya,Norte,São Paulo,SP
Vila Gabriel,Norte,São Paulo,SP
Vila Gea,Norte,São Paulo,SP
Vila Genioli,Norte,São Paulo,SP
Vila Germinal,Norte,São Paulo,SP
Vila Gertrudes,Oeste,São Paulo,SP
Vila Gil,Norte,São Paulo,SP
Vila Gilda,Norte,São Paulo,SP
Vila Giordano,Norte,São Paulo,SP
Vila Gomes,Norte,São Paulo,SP
Vila Gomes Cardim,Leste,São Paulo,SP
Vila Gouveia,Norte,São Paulo,SP
Vila Graciosa,Sul,São Paulo,SP
Vila Granada,Leste,São Paulo,SP
Vila Graziela,Norte,São Paulo,SP
Vila Guaca,Norte,São Paulo,SP
Vila Guacuri,Sul,São Paulo,SP
Vila Guaraciaba,Norte,São Paulo,SP
Vila Guarani (Zona Sul),Sul,São Paulo,SP
Vila Guarani (Zona Leste),Leste,São Paulo,SP
Vila Guedes,Norte,São Paulo,SP
Vila Guilherme,Norte,São Paulo,SP
Vila Guilhermina,Leste,São Paulo,SP
Vila Guiomar,Norte,São Paulo,SP
Vila Gumercindo,Sul,São Paulo,SP
Vila Gustavo,Norte,São Paulo,SP
Vila Hamburguesa,Norte,São Paulo,SP
Vila Hebe,Norte,São Paulo,SP
Vila Helena,Norte,São Paulo,SP
Vila Heliópolis,Sul,São Paulo,SP
Vila Hermínia,Norte,São Paulo,SP
Vila Homero,Oeste,São Paulo,SP
Vila Hortência,Norte,São Paulo,SP
Vila Iório,Norte,São Paulo,SP
Vila Icarai,Norte,São Paulo,SP
Vila Ida,Norte,São Paulo,SP
Vila Iguaçu,Norte,São Paulo,SP
Vila Império,Leste,São Paulo,SP
Vila Inácio,Norte,São Paulo,SP
Vila Inah,Norte,São Paulo,SP
Vila Independência,Leste,São Paulo,SP
Vila Independente,Oeste,São Paulo,SP
Vila Indiana,Oeste,São Paulo,SP
Vila Industrial,Norte,São Paulo,SP
Vila Inglesa,Sul,São Paulo,SP
Vila Invernada,Norte,São Paulo,SP
Vila Iolanda II,Leste,São Paulo,SP
Vila Iolanda (Lajeado),Leste,São Paulo,SP
Vila Ipojuca,Oeste,São Paulo,SP
Vila Irmãos Arnoni,Norte,São Paulo,SP
Vila Isa,Norte,São Paulo,SP
Vila Isabel,Norte,São Paulo,SP
Vila Isolina Mazzei,Norte,São Paulo,SP
Vila Itaberaba,Norte,São Paulo,SP
Vila Itaim,Leste,São Paulo,SP
Vila Ivg,Norte,São Paulo,SP
Vila Ivone,Norte,São Paulo,SP
Vila Jacuí,Leste,São Paulo,SP
Vila Jaguara,Oeste,São Paulo,SP
Vila Jaguari,Norte,São Paulo,SP
Vila Jaguará,Oeste,São Paulo,SP
Vila João Batista,Norte,São Paulo,SP
Vila Joaniza,Sul,São Paulo,SP
Vila Julio Cesar,Norte,São Paulo,SP
Vila Jurema,Norte,São Paulo,SP
Vila Jussara,Oeste,São Paulo,SP
Vila Klaunig,Norte,São Paulo,SP
Vila Laís,Norte,São Paulo,SP
Vila Lageado,Leste,São Paulo,SP
Vila Lúcia,Sul,São Paulo,SP
Vila Lúcia Elvira,Norte,São Paulo,SP
Vila Lar Nacional,Norte,São Paulo,SP
Vila Leme,Norte,São Paulo,SP
Vila Leonor,Oeste,São Paulo,SP
Vila Leopoldina,Oeste,São Paulo,SP
Vila Libanesa,Norte,São Paulo,SP
Vila Lisboa,Norte,São Paulo,SP
Vila Liviero,Norte,São Paulo,SP
Vila Londrina,Norte,São Paulo,SP
Vila Lourdes,Norte,São Paulo,SP
Vila Luzimar,Norte,São Paulo,SP
Vila Macedópolis,Norte,São Paulo,SP
Vila Madalena,Oeste,São Paulo,SP
Vila Mafra,Norte,São Paulo,SP
Vila Mangalot,Oeste,São Paulo,SP
Vila Mara,Norte,São Paulo,SP
Vila Maracanã,Norte,São Paulo,SP
Vila Marari,Norte,São Paulo,SP
Vila Marcelo,Norte,São Paulo,SP
Vila Margareth,Norte,São Paulo,SP
Vila Margarida,Sul,São Paulo,SP
Vila Maria,Norte,São Paulo,SP
Vila Maria Alta,Norte,São Paulo,SP
Vila Maria Baixa,Norte,São Paulo,SP
Vila Maria Eugenia,Norte,São Paulo,SP
Vila Maria Luisa,Norte,São Paulo,SP
Vila Maria Trindade,Oeste,São Paulo,SP
Vila Maria Zélia,Norte,São Paulo,SP
Vila Mariana,Sul,São Paulo,SP
Vila Marieta,Norte,São Paulo,SP
Vila Marilena,Norte,São Paulo,SP
Vila Marina,Norte,São Paulo,SP
Vila Mariza Mazzei,Norte,São Paulo,SP
Vila Marte,Norte,São Paulo,SP
Vila Mascote,Sul,São Paulo,SP
Vila Matias,Norte,São Paulo,SP
Vila Matilde,Leste,São Paulo,SP
Vila Mazzei,Norte,São Paulo,SP
Vila Medeiros,Norte,São Paulo,SP
Vila Mendes,Norte,São Paulo,SP
Vila Mercedes,Norte,São Paulo,SP
Vila Mesquita,Norte,São Paulo,SP
Vila Miami,Sul,São Paulo,SP
Vila Michelina,Norte,São Paulo,SP
Vila Minerva,Norte,São Paulo,SP
Vila Mira,Oeste,São Paulo,SP
Vila Mirante,Norte,São Paulo,SP
Vila Miriam,Norte,São Paulo,SP
Vila Missionária,Sul,São Paulo,SP
Vila Moinho Velho,Sul,São Paulo,SP
Vila Monte Alegre,Oeste,São Paulo,SP
Vila Monte Santo,Norte,São Paulo,SP
Vila Monumento,Sul,São Paulo,SP
Vila Moraes,Sul,São Paulo,SP
Vila Moreira,Norte,São Paulo,SP
Vila Morgadouro,Norte,São Paulo,SP
Vila Morse,Norte,São Paulo,SP
Vila Morumbi,Oeste,São Paulo,SP
Vila Nair,Norte,São Paulo,SP
Vila Nancy,Norte,São Paulo,SP
Vila Narciso,Norte,São Paulo,SP
Vila Nascente,Norte,São Paulo,SP
Vila Natália,Oeste,São Paulo,SP
Vila Natal,Norte,São Paulo,SP
Vila Neila,Norte,São Paulo,SP
Vila Nelson,Norte,São Paulo,SP
Vila Nhocune,Leste,São Paulo,SP
Vila Nilo,Norte,São Paulo,SP
Vila Nilva,Norte,São Paulo,SP
Vila Nina,Norte,São Paulo,SP
Vila Nitro Operária,Norte,São Paulo,SP
Vila Nivi,Norte,São Paulo,SP
Vila Noca,Norte,São Paulo,SP
Vila Nogueira,Sul,São Paulo,SP
Vila Norma,Norte,São Paulo,SP
Vila Nossa Senhora Aparecida,Norte,São Paulo,SP
Vila Nossa Senhora do Retiro,Norte,São Paulo,SP
Vila Nova,Norte,São Paulo,SP
Vila Nova Alba,Norte,São Paulo,SP
Vila Nova Cachoeirinha,Norte,São Paulo,SP
Vila Nova Caledônia,Norte,São Paulo,SP
Vila Nova Carolina,Sul,São Paulo,SP
Vila Nova Conceição,Sul,São Paulo,SP
Vila Nova Curuçá,Leste,São Paulo,SP
Vila Nova das Belezas,Sul,São Paulo,SP
Vila Nova Esperança,Sul,São Paulo,SP
Vila Nova Galvão,Norte,São Paulo,SP
Vila Nova Jaguaré,Oeste,São Paulo,SP
Vila Nova Manchester,Norte,São Paulo,SP
Vila Nova Mazzei,Norte,São Paulo,SP
Vila Nova Parada,Leste,São Paulo,SP
Vila Nova Pauliceia,Norte,São Paulo,SP
Vila Nova Pirajussara,Oeste,São Paulo,SP
Vila Nova Savoia,Norte,São Paulo,SP
Vila Nova Teresa,Norte,São Paulo,SP
Vila Nova Utinga,Norte,São Paulo,SP
Vila Nova York,Norte,São Paulo,SP
Vila Odete,Norte,São Paulo,SP
Vila Olímpia,Sul,São Paulo,SP
Vila Olga,Norte,São Paulo,SP
Vila Olga Cecília,Norte,São Paulo,SP
Vila Olinda,Norte,São Paulo,SP
Vila Oratório,Leste,São Paulo,SP
Vila Paiva,Sul,São Paulo,SP
Vila Palmeiras,Norte,São Paulo,SP
Vila Paranaguá,Norte,São Paulo,SP
Vila Parque Jabaquara,Sul,São Paulo,SP
Vila Patrimonial,Norte,São Paulo,SP
Vila Paulicélia,Norte,São Paulo,SP
Vila Paulista,Sul,São Paulo,SP
Vila Paulista I,Sul,São Paulo,SP
Vila Paulista II,Sul,São Paulo,SP
Vila Paulistana,Norte,São Paulo,SP
Vila Paulistania,Norte,São Paulo,SP
Vila Paulo Silas,Norte,São Paulo,SP
Vila Pedra Branca,Norte,São Paulo,SP
Vila Pedrosa,Norte,São Paulo,SP
Vila Pedroso,Norte,São Paulo,SP
Vila Penteado,Norte,São Paulo,SP
Vila Pereira Barreto,Norte,São Paulo,SP
Vila Pereira Cerca,Norte,São Paulo,SP
Vila Perus,Norte,São Paulo,SP
Vila Piauí,Norte,São Paulo,SP
Vila Picinin,Norte,São Paulo,SP
Vila Pierina,Norte,São Paulo,SP
Vila Piracicaba,Norte,São Paulo,SP
Vila Pirajussara,Oeste,São Paulo,SP
Vila Pirituba,Norte,São Paulo,SP
Vila Pita,Norte,São Paulo,SP
Vila Plana,Norte,São Paulo,SP
Vila Polopoli,Norte,São Paulo,SP
Vila Pompéia,Oeste,São Paulo,SP
Vila Ponte Rasa,Leste,São Paulo,SP
Vila Popular,Norte,São Paulo,SP
Vila Portugal,Norte,São Paulo,SP
Vila Portuguesa,Norte,São Paulo,SP
Vila Prado,Oeste,São Paulo,SP
Vila Praia,Sul,São Paulo,SP
Vila Prel,Norte,São Paulo,SP
Vila Primavera,Leste,São Paulo,SP
Vila Princesa Isabel,Norte,São Paulo,SP
Vila Progredior,Oeste,São Paulo,SP
Vila Progresso (Zona Leste),Leste,São Paulo,SP
Vila Progresso (Zona Norte),Norte,São Paulo,SP
Vila Progresso (Zona Sul),Sul,São Paulo,SP
Vila Prudente,Leste,São Paulo,SP
Vila Quintana,Sul,São Paulo,SP
Vila Ré,Leste,São Paulo,SP
Vila Ramos,Norte,São Paulo,SP
Vila Raquel,Oeste,São Paulo,SP
Vila Regente Feijó,Leste,São Paulo,SP
Vila Regina,Norte,São Paulo,SP
Vila Regina (Zona Leste),Leste,São Paulo,SP
Vila Reis,Norte,São Paulo,SP
Vila Renato (Zona Leste),Leste,São Paulo,SP
Vila Renato (Zona Norte),Norte,São Paulo,SP
Vila Represa,Sul,São Paulo,SP
Vila Ribeiro de Barros,Norte,São Paulo,SP
Vila Rica,Norte,São Paulo,SP
Vila Rio Branco,Norte,São Paulo,SP
Vila Robertina,Norte,São Paulo,SP
Vila Romana,Oeste,São Paulo,SP
Vila Romano,Norte,São Paulo,SP
Vila Romero,Norte,São Paulo,SP
Vila Roque,Norte,São Paulo,SP
Vila Rosa,Norte,São Paulo,SP
Vila Rosa Molla,Norte,São Paulo,SP
Vila Rosaria,Norte,São Paulo,SP
Vila Roschel,Norte,São Paulo,SP
Vila Roseira II,Norte,São Paulo,SP
Vila Rosina,Norte,São Paulo,SP
Vila Rubi,Norte,São Paulo,SP
Vila Rui Barbosa,Norte,São Paulo,SP
Vila Sônia,Oeste,São Paulo,SP
Vila São Camilo,Norte,São Paulo,SP
Vila São Domingos,Norte,São Paulo,SP
Vila São Francisco,Norte,São Paulo,SP
Vila São Francisco (Zona Leste),Leste,São Paulo,SP
Vila São Francisco (Zona Sul),Sul,São Paulo,SP
Vila São Geraldo,Norte,São Paulo,SP
Vila São José,Norte,São Paulo,SP
Vila São José (Cidade Dutra),Sul,São Paulo,SP
Vila São José (Guaianazes),Leste,São Paulo,SP
Vila São José (Ipiranga),Sul,São Paulo,SP
Vila São José (Itaim Paulista),Leste,São Paulo,SP
Vila São Judas,Sul,São Paulo,SP
Vila São Luís (Zona Oeste),Oeste,São Paulo,SP
Vila São Nicolau,Norte,São Paulo,SP
Vila São Paulo,Norte,São Paulo,SP
Vila São Pedro,Norte,São Paulo,SP
Vila São Silvestre,Norte,São Paulo,SP
Vila São Silvestre (Zona Leste),Leste,São Paulo,SP
Vila São Vicente,Norte,São Paulo,SP
Vila Sérgio,Norte,São Paulo,SP
Vila Sabrina,Norte,São Paulo,SP
Vila Salete,Norte,São Paulo,SP
